evtype,evsort,event.name
   HIGH SURF ADVISORY,8909734.43,High Surf
 FLASH FLOOD,8909734.43,Flash Flood
 TSTM WIND,17819468.86,Tsunami
 TSTM WIND (G45),8909734.43,Tsunami
AGRICULTURAL FREEZE,26729203.29,Frost/Freeze
ASTRONOMICAL HIGH TIDE,71277875.44,Storm Surge/Tide
ASTRONOMICAL LOW TIDE,17819468.86,Astronomical Low Tide
AVALANCHE,2352169890,Avalanche
BEACH EROSION,8909734.43,High Surf
BLACK ICE,8909734.43,Winter Weather
BLIZZARD,2031419450,Blizzard
BLOWING DUST,8909734.43,Dust Storm
BLOWING SNOW,8909734.43,Winter Storm
BRUSH FIRE,8909734.43,Wildfire
COASTAL  FLOODING/EROSION,8909734.43,Coastal Flood
COASTAL EROSION,8909734.43,Coastal Flood
COASTAL FLOOD,1363189368,Coastal Flood
COASTAL FLOODING,311840705.1,Coastal Flood
COASTAL FLOODING/EROSION,26729203.29,Coastal Flood
COASTAL STORM,35638937.72,Tropical Storm
COASTALSTORM,8909734.43,Tropical Storm
COLD,178194688.6,Cold/Wind Chill
COLD AND SNOW,8909734.43,Winter Weather
COLD TEMPERATURE,17819468.86,Winter Weather
COLD WEATHER,8909734.43,Winter Weather
COLD/WIND CHILL,801876098.7,Extreme Cold/Wind Chill
DAM BREAK,17819468.86,Flash Flood
DAMAGING FREEZE,26729203.29,Frost/Freeze
DENSE FOG,516764596.9,Dense Fog
DENSE SMOKE,8909734.43,Dense Smoke
DOWNBURST,8909734.43,Thunderstorm Wind
DROUGHT,2298711483,Drought
DROWNING,8909734.43,Flash Flood
DRY MICROBURST,668230082.3,Thunderstorm Wind
DUST DEVIL,748417692.1,Dust Devil
DUST STORM,855334505.3,Dust Devil
EARLY FROST,8909734.43,Frost/Freeze
EROSION/CSTL FLOOD,17819468.86,Coastal Flood
EXCESSIVE HEAT,6103168085,Excessive Heat
EXCESSIVE SNOW,222743360.8,Heavy Snow
EXTENDED COLD,8909734.43,Extreme Cold/Wind Chill
EXTREME COLD,1479015915,Extreme Cold/Wind Chill
EXTREME COLD/WIND CHILL,988980521.7,Extreme Cold/Wind Chill
EXTREME WINDCHILL,169284954.2,Extreme Cold/Wind Chill
FALLING SNOW/ICE,17819468.86,Winter Weather
FLASH FLOOD,1.69E+11,Flash Flood
FLASH FLOOD/FLOOD,8909734.43,Flash Flood
FLOOD,84758303633,Flood
FLOOD/FLASH/FLOOD,8909734.43,Flood
FOG,899883177.4,Dense Fog
FREEZE,124736282,Frost/Freeze
FREEZING DRIZZLE,44548672.15,Winter Weather
FREEZING FOG,62368141.01,Freezing Fog
FREEZING RAIN,80187609.87,Winter Weather
FREEZING SPRAY,8909734.43,Winter Weather
FROST,8909734.43,Frost/Freeze
FROST/FREEZE,1042438928,Frost/Freeze
FUNNEL CLOUD,80187609.87,Funnel Cloud
GLAZE,142555750.9,Freezing Fog
GRADIENT WIND,53458406.58,Strong Wind
GUSTY WIND,115826547.6,Strong Wind
GUSTY WIND/HAIL,8909734.43,Hail
GUSTY WIND/HVY RAIN,8909734.43,Heavy Rain
GUSTY WIND/RAIN,8909734.43,Heavy Rain
GUSTY WINDS,267292032.9,Strong Wind
HAIL,2.02E+11,Hail
HARD FREEZE,8909734.43,Frost/Freeze
HAZARDOUS SURF,8909734.43,High Surf
HEAT,1461196447,Heat
HEAT WAVE,8909734.43,Heat
HEAVY RAIN,9328491948,Heavy Rain
HEAVY RAIN/HIGH SURF,8909734.43,Heavy Rain
HEAVY SEAS,8909734.43,High Surf
HEAVY SNOW,9168116728,Heavy Snow
HEAVY SNOW SHOWER,8909734.43,Heavy Snow
HEAVY SURF,258382298.5,High Surf
HEAVY SURF AND WIND,8909734.43,High Surf
HEAVY SURF/HIGH SURF,445486721.5,High Surf
HIGH SEAS,53458406.58,High Surf
HIGH SURF,1140446007,High Surf
HIGH SWELLS,17819468.86,High Surf
HIGH WATER,17819468.86,High Surf
HIGH WIND,48130385391,High Wind
HIGH WIND (G40),17819468.86,High Wind
HIGH WINDS,8909734.43,High Wind
HURRICANE,1122626538,Hurricane (Typhoon)
HURRICANE EDOUARD,8909734.43,Hurricane (Typhoon)
HURRICANE/TYPHOON,641500879,Hurricane (Typhoon)
HYPERTHERMIA/EXPOSURE,8909734.43,Excessive Heat
HYPOTHERMIA/EXPOSURE,53458406.58,Excessive Heat
ICE JAM FLOOD (MINOR,8909734.43,Flash Flood
ICE ON ROAD,8909734.43,Winter Weather
ICE ROADS,8909734.43,Winter Weather
ICE STORM,5622042425,Ice Storm
ICY ROADS,160375219.7,Winter Weather
LAKE-EFFECT SNOW,1728488479,Lake-Effect Snow
LAKE EFFECT SNOW,35638937.72,Lake-Effect Snow
LAKESHORE FLOOD,44548672.15,Lakeshore Flood
LANDSLIDE,1692849542,Debris Flow
LANDSLIDES,8909734.43,Debris Flow
LANDSLUMP,8909734.43,Debris Flow
LANDSPOUT,17819468.86,Tornado
LATE SEASON SNOW,8909734.43,Winter Weather
